Membership No  Date Joined  Active  
    94167      2016-7-15    no    
    92210      2017-3-16    no    
    77256      2017-8-25    no    
    82248      2019-6-11    no    
    71743      2019-4-22    no    
    46506      2016-12-4    no    
    19260      2019-8-13    no    
    53513      2017-10-21   no    
    67372      2018-6-22    no    
    99893      2018-1-14    no    
    77337      2016-9-9     no    
    16141      2016-9-4     no    
    76232      2015-1-16    no    
    87054      2019-9-10    no    
